20-03-2018 17:38:43 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (1fe2ff0a1d36c0598dc8a9e9b9bcfa15)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 17:38:43 INFO  Actionwords:759 - true
20-03-2018 17:38:43 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:38:43 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:38:43 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:38:45 INFO  TPStatementPage:325 - Number of statement present with required status of: Pending are- 19
20-03-2018 17:38:46 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:38:46 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:38:46 INFO  ExcelReader:61 - Row no. returned from sheet is: 1
20-03-2018 17:38:46 INFO  ExcelReader:96 - Cell value on row 1 and column 3 is: Pending
20-03-2018 17:38:46 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:38:47 INFO  TPStatementPage:325 - Number of statement present with required status of: Pending are- 19
20-03-2018 17:38:47 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:38:47 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:38:47 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:38:47 INFO  Actionwords:1105 - <----------Scenario Completed: Select single statement pending agreement--------------->
20-03-2018 17:38:48 INFO  Actionwords:1120 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 17:38:49 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_17-38-49*******************
20-03-2018 21:27:53 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_21-27-53*******************
20-03-2018 21:28:08 INFO  Actionwords:1095 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 21:28:11 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (0650f3c475b18af5e361551de19cd168)] -> id: Email]
20-03-2018 21:28:12 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 21:28:12 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 21:28:12 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (0650f3c475b18af5e361551de19cd168)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 21:28:14 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (0650f3c475b18af5e361551de19cd168)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 21:28:14 INFO  Actionwords:757 - true
20-03-2018 21:28:16 INFO  TPStatementPage:230 - No. of columns in the table header are: 16
20-03-2018 21:28:16 INFO  TPStatementPage:262 - Required column is present in statement table at position: 2
20-03-2018 21:28:16 INFO  TPStatementPage:279 - Row present in statement table are: 19
20-03-2018 21:28:17 INFO  TPStatementPage:364 - Number of statement present with required status of: Pending are- 19
20-03-2018 21:28:19 INFO  TPStatementPage:230 - No. of columns in the table header are: 16
20-03-2018 21:28:19 INFO  TPStatementPage:262 - Required column is present in statement table at position: 2
20-03-2018 21:28:19 INFO  ExcelReader:61 - Row no. returned from sheet is: 1
20-03-2018 21:28:19 INFO  ExcelReader:96 - Cell value on row 1 and column 3 is: Pending
20-03-2018 21:28:19 INFO  TPStatementPage:279 - Row present in statement table are: 19
20-03-2018 21:28:20 INFO  TPStatementPage:364 - Number of statement present with required status of: Pending are- 19
20-03-2018 21:28:20 INFO  TPStatementPage:279 - Row present in statement table are: 19
20-03-2018 21:28:20 INFO  TPStatementPage:230 - No. of columns in the table header are: 16
20-03-2018 21:28:20 INFO  TPStatementPage:262 - Required column is present in statement table at position: 2
20-03-2018 21:28:20 INFO  Actionwords:1105 - <----------Scenario Completed: Select single statement pending agreement--------------->
